
Status for Glycine max (glyma) as of 2026-04-21:

Count | PMID | DOI | Citation; Summary for glyma
  --------------------------------------------------
  25 | 33090664 | 10.1111/jipb.13021 | Lin, Liu et al., 2021
  21 | 34962095 | 10.1111/jipb.13207 | Yang, Lan et al., 2022
  11 | 35574141 | 10.3389/fpls.2022.889066 | Dietz, Chan et al., 2023
  11 | 34919115 | 10.1590/1678-4685-GMB-2021-0016 | Molinari, Fuganti-Pagliarini et al., 2021
  10 | 22357599 | 10.1093/jxb/ers039 | Pandurangan, Pajak et al., 2012
   8 | 35782726 | 10.1016/j.csbj.2022.06.014 | Zuo, Ikram et al., 2022
   6 | 32680974 | 10.1104/pp.19.01209 | Lu, Cheng et al., 2020
   6 | 28598036 | 10.1111/nph.14632 | Cai, Wang et al., 2017
   5 | 38040709 | 10.1038/s41467-023-42991-z | Li, Sun et al., 2023
   5 | 28319089 | 10.1038/ng.3819 | Lu, Zhao et al., 2017
   5 | 24397545 | 10.1186/1471-2229-14-9 | Fan, Hu et al., 2014
   4 | 41006955 | 10.1002/tpg2.70115 | Kumar, Mulkey et al., 2025
   4 | 40679091 | 10.1002/advs.202505181 | Zheng, Feng et al., 2025
   4 | 35782726 | 10.1016/j.csbj.2022.06.014 | Zuo, Ikram et. al., 2022
   4 | 34319424 | 10.1007/s00122-021-03917-9 | Zhou, Lakhssassi et. al., 2021
   4 | 31437808 | 10.1016/j.jplph.2019.153019 | Zhao, Bi et al., 2019
   4 | 26786479 | 10.1186/s12870-016-0704-9 | Zhao, Takeshima et al., 2016
   4 | 20864544 | 10.1104/pp.110.160796 | Kong, Liu et al., 2010
   3 | 41408752 | 10.1016/j.xplc.2025.101678 | Yang, Ding et al., 2025
   3 | 40636009 | 10.3389/fpls.2025.1606321 | Knizia, Anil et al., 2025
   3 | 40394901 | 10.1016/j.xplc.2025.101378 | He, Liu et al., 2025
   3 | 35599880 | 10.3389/fpls.2022.842597 | Khatri, Pant et al., 2022
   3 | 35498680 | 10.3389/fpls.2022.820348 | Song, Montes-Luz et al., 2022
   3 | 34962095 | 10.1111/jipb.13207 | Yang, Lan et. al., 2022
   3 | 31981430 | 10.1111/pce.13695 | Chen, Cai et al., 2020
   3 | 31960590 | 10.1111/pbi.13343 | Lakhssassi, Piya et al., 2020
   3 | 31906799 | 10.1080/15592324.2019.1709707 | Arunraj, Skori et al., 2020
   3 | 31782596 | 10.1111/pbi.13305 | Chen, Zhao et al., 2020
   3 | 28350372 | 10.3390/genes8040111 | Zhu, Wang et al., 2017
   3 | 27422993 | 10.1093/jxb/erw283 | Takeshima, Hayashi et al., 2016
   3 | 25914592 | 10.1270/jsbbs.64.371 | Hoshino, Watanabe et al., 2014
   3 | 24872380 | 10.1104/pp.114.242495 | Wang, Shine et al., 2014
   3 | 23342093 | 10.1371/journal.pone.0054154 | Cheng, Wang, et al., 2013
   3 | 21406680 | 10.1534/genetics.110.125062 | Watanabe, Xia et al., 2011
   3 | 21198362 | 10.1094/MPMI-09-10-0207 | Reid, Ferguson et al., 2011
   3 | 15939664 | 10.1016/j.pbi.2005.05.010 | Weirmer, Feys et al., 2005
   3 | 10657130 | 10.1038/72671 | Jung, Yu, et al., 2013
   2 | N/A | 10.1007/s11240-015-0837-9 | Wang, Wang et al., 2015
   2 | N/A | 10.1007/s11032-019-0972-9 | Combs, Bilyeu, 2019
   2 | N/A | 10.1007/s11032-012-9707-x | Head, Katie, et al., 2012
   2 | 40839861 | 10.1111/tpj.70435 | Sun, Li et al., 2025
   2 | 40076746 | 10.3390/ijms26052123 | Wang, He et al., 2025
   2 | 35840482 | 10.1016/j.tplants.2022.07.002 | Hasan, Corpas et al., 2022
   2 | 35574141 | 10.3389/fpls.2022.889066 | Dietz, Chan et al., 2022
   2 | 35456933 | 10.3390/ijms23084116 | Qian, Jin et. al., 2022
   2 | 35371153 | 10.3389/fpls.2022.817544 | Awal Khan, Zhang et al., 2022
   2 | 34591638 | 10.1126/science.abh2890 | Wang, Guo et al., 2021
   2 | 34587329 | 10.1111/tpj.15520 | Zhuang, Xue et al., 2021
   2 | 34245624 | 10.1111/tpj.15414 | Wang, Li et al., 2021
   2 | 33918544 | 10.3390/ijms22083877 | Ma, Sun et. al., 2021
   2 | 33742087 | 10.1038/s42003-021-01889-6 | Vadivel, Anguraj AK, et al., 2021
   2 | 33458938 | 10.1111/jipb.13070 | Yue, Li et al., 2021
   2 | 33452487 | 10.1038/s41477-020-00832-7 | Zhang, Wang et al., 2021
   2 | 32499790 | 10.3389/fpls.2020.00450 | Wang, Yang et al., 2020
   2 | 32231277 | 10.1038/s41588-020-0604-7 | Lu, Dong et al., 2020
   2 | 32186464 | 10.1094/MPMI-01-20-0017-R | Shi, Zhang et al., 2020
   2 | 32119117 | 10.1111/nph.16506 | Liu, Liao et al., 2020
   2 | 32005391 | 10.1016/j.plantsci.2019.110386 | Tian, Liu et al., 2019
   2 | 31787988 | 10.3389/fpls.2019.01221 | Wu, Kang et al., 2019
   2 | 31518373 | 10.1371/journal.pone.0222469 | Sugawara, Umehara et al., 2019
   2 | 30418611 | 10.1093/pcp/pcy215 | Li, Liu et al., 2019
   2 | 30110937 | 10.3390/ijms19082395 | Su, Han et al., 2018
   2 | 28204559 | 10.1093/jxb/erw425 | Tang, Su et al., 2017
   2 | 27345221 | 10.1038/srep28541 | Chen, Wang et al., 2016
   2 | 27065041 | 10.3389/fpls.2016.00372 | Zhang, Li et al., 2016
   2 | 26371882 | 10.1371/journal.pone.0136601 | Guo, Xu et al., 2015
   2 | 26134161 | 10.1104/pp.15.00763 | Xu, Yamagishi et al., 2015
   2 | 25549672 | 10.1105/tpc.114.131607 | Wang, Wang et al., 2014
   2 | 25452420 | 10.1534/g3.114.015255 | Campbell, Mani et al., 2014
   2 | 24673766 | 10.1111/jipb.12201 | Hayashi, Gresshoff et al., 2014
   2 | 24465684 | 10.1371/journal.pone.0085754 | Wu, Price et al., 2014
   2 | 24452833 | 10.1007/s11103-014-0172-2 | Pant, Matsye et al., 2014
   2 | 24372721 | 10.1111/tpj.12419 | Fang, Li et al., 2014
   2 | 23636663 | 10.1007/s00299-013-1419-0 | Na, Jian et al., 2013
   2 | 22863334 | 10.1111/j.1467-7652.2012.00729.x | Hayashi, Reid et al., 2012
   2 | 22107112 | 10.1021/jf2033939 | Kovinich, Saleem et al., 2012
   2 | 21175888 | 10.1111/j.1365-313X.2010.04398.x | Indrasumunar, Searle et al., 2011
   2 | 20828382 | 10.1186/1471-2229-10-195 | Pham, Lee et al., 2010
   2 | 20075913 | 10.1038/nature08670 | Schmutz et al., 2010
   2 | 19106300 | 10.1073/pnas.0810585105 | Shang, Li et al., 2008
   2 | 18780733 | 10.1534/genetics.108.092742 | Liu, Kanazawa et al., 2008
   2 | 17701395 | 10.1007/s00122-007-0621-2 | Yuan, Zhao et al., 2007
   2 | 15125772 | 10.1111/j.1365-313x.2004.02072.x | Noh, Bizzell et al., 2004
   2 | 12411574 | 10.1126/science.1077937 | Searle, Men et al., 2003
   2 | 12228359 | 10.1104/pp.107.1.253 | Chao et al., 1995
   1 | N/A | 10.2135/cropsci2014.03.0228 | Kong, Nan et al., 2014
   1 | N/A | 10.2135/cropsci2008.02.0084 | Zhang, Burton et. al., 2008
   1 | N/A | 10.1111/j.1399-3054.2007.00903.x | Meixner, Vegvari et al., 2007
   1 | N/A | 10.1016/j.cj.2021.08.009 | Yu, Zou et al., 2021
   1 | N/A | 10.1007/s11104-014-2267-6 | Wang, Zeng et al., 2015
   1 | 9712587 | 10.1126/science.281.5380.1202 | Kaiser, Finnegan et al., 1998
   1 | 41775167 | 10.1016/j.plaphy.2026.111163 | Yang, Liu et al., 2026
   1 | 41431171 | 10.1111/pbi.70443 | Liu, Wang et al., 2026
   1 | 41238015 | 10.1016/j.plantsci.2025.112863 | Liu, Yao et al., 2026
   1 | 40874116 | 10.1002/pld3.70098 | Du, Jung et al., 2025
   1 | 40466959 | 10.1016/j.gene.2025.149609 | Guo, Sun et al., 2025
   1 | 39942905 | 10.3390/plants14030343 | Yao, Humphries et al., 2025
   1 | 39926644 | 10.3389/fpls.2025.1533592 | Bao, Xu et al., 2025
   1 | 39859208 | 10.3390/ijms26020492 | Jin, Gao et al., 2025
   1 | 39134894 | 10.1007/s00122-024-04693-y | You, Jo et al., 2024
   1 | 38635775 | 10.1093/jxb/erae174 | Antonietta, Martinez et al., 2024
   1 | 38390811 | 10.1111/jipb.13631 | Xie, Song et. al., 2024
   1 | 38219483 | 10.1016/j.bbrc.2024.149471 | Jordan, Schmidt et al., 2024
   1 | 37384360 | 10.3389/fpls.2023.1190503 | Yang Y, Zhao T et al., 2023
   1 | 37348581 | 10.1016/j.ijbiomac.2023.125464 | Zhang, Chen et al., 2023
   1 | 37186600 | 10.1371/journal.pone.0285698 | Khatri, Chen et al., 2023
   1 | 36931563 | 10.1016/j.plantsci.2023.111677 | Kong, Xu et al., 2023
   1 | 36740575 | 10.1111/nph.18792 | Cai, Xian et al., 2023
   1 | 36614246 | 10.3390/ijms24010798 | Xhao, Li et al., 2023
   1 | 36438085 | 10.3389/fpls.2022.1052017 | Zhang, Cheng et al., 2022
   1 | 36307423 | 10.1038/s41467-022-34153-4 | Liang, Chen, et al., 2022
   1 | 36249531 | 10.1515/biol-2022-0490 | Zhou, Wang et al., 2022
   1 | 35269637 | 10.3390/ijms23052497 | Su, Chen et al., 2022
   1 | 34978122 | 10.1111/tpj.15658 | Fliege, Ward et al.,2022
   1 | 34531883 | 10.3389/fpls.2021.708286 | DeMers, Raboy et al., 2021
   1 | 34265872 | 10.1111/pbi.13668 | Lu, Wei et al., 2021
   1 | 33995435 | 10.3389/fpls.2021.632754 | Xia, Zhai et al., 2012
   1 | 33846264 | 10.1073/pnas.2100136118 | Pan, Yu et al., 2021
   1 | 33841461 | 10.3389/fpls.2021.629069 | Yang, Zhang et al., 2021
   1 | 33742112 | 10.1038/s42003-021-01907-7 | Zhang, Cheng et al., 2021
   1 | 33368860 | 10.1111/pbi.13536 | Jin, Sun et al., 2021
   1 | 33179365 | 10.1111/tpj.15077 | Burgos, Luca, et al., 2020
   1 | 33175845 | 10.1371/journal.pgen.1009114 | Zhang, Goettel et al., 2020
   1 | 32584851 | 10.1371/journal.pone.0235120 | Redekar, Glover et al., 2020
   1 | 32344464 | 10.1111/tpj.14789 | Isidra-Arellano, Pozas-Rodríguez et al., 2020
   1 | 32171732 | 10.1016/j.molp.2020.03.002 | Liu, Zhang et al., 2020
   1 | 31981443 | 10.1111/pbi.13346 | Wang, Sun et al., 2020
   1 | 31856712 | 10.1186/s12870-019-2201-4 | Yu, Jin et al., 2019
   1 | 31852439 | 10.1186/s12870-019-2145-8 | Cheng, Dong et al., 2019
   1 | 31779909 | 10.1016/j.plantsci.2019.110298 | Bai, Jing et al., 2020
   1 | 31766569 | 10.3390/genes10120957 | Yu, Chang et al., 2019
   1 | 31724182 | 10.1111/pce.13678 | Wang, Yuan, et. al., 2019
   1 | 31596499 | 10.1111/nph.16250 | Miao, Yang et al., 2020
   1 | 31569565 | 10.3390/ijms20194849 | Noman, Jameel et al., 2019
   1 | 31437808 | 10.1016/j.jplph.2019.153019 | Zhau, Bi et al., 2019
   1 | 31437808 | 10.1016/j.jplph.2019.153019 | Zhao, Jiangzhe, et al., 2019
   1 | 31293605 | 10.3389/fpls.2019.00794 | Kusano, Li et al., 2019
   1 | 31240772 | 10.1111/pbi.13199 | Cai, Wang, et al., 2020
   1 | 31206092 | 10.1016/j.heliyon.2019.e01868 | Li, Guo et. al., 2019
   1 | 31123331 | 10.1038/s41598-019-44255-7 | Kumar, Kumar et al., 2019
   1 | 31035293 | 10.1093/jxb/erz199 | Takeshima, Nan, et al., 2019
   1 | 30979945 | 10.1038/s41598-019-42332-5 | Chen, Fang et al., 2019
   1 | 30894121 | 10.1186/s12864-019-5577-5 | Jiang, Zhang, et al., 2019
   1 | 30670485 | doi.org/10.1105/tpc.17.00714 | You, Sawikowska et al., 2019
   1 | 30509166 | 10.1186/s12870-018-1551-7 | Du, Zhao et al., 2018
   1 | 30456004 | 10.1007/s13205-018-1492-8 | Porras-Murillo, Andrade-Torres et al., 2018
   1 | 30195273 | 10.1111/tpj.14083 | Sukumaran, McDowell et al., 2018
   1 | 30113770 | 10.1111/mpp.12741 | Zhang, Gao et al., 2018
   1 | 30087346 | 10.1038/s41467-018-05663-x | Sugawara, Takahashi et. al., 2018
   1 | 30004144 | 10.1111/tpj.14025 | Zhao, Li et al., 2018
   1 | 29769571 | 10.1038/s41598-018-25910-x | Yan, Wang et. al., 2018
   1 | 29550969 | 10.1007/s00122-017-3044-8 | Li, Guo et al., 2018
   1 | 29292374 | 10.1038/s41477-017-0084-7 | Zhang, Sun et al., 2018
   1 | 29120038 | 10.1111/nph.14884 | Liu, Jiang, et al., 2018
   1 | 29120038 | 10.1111/nph.14884 | Liu, Jiang et al., 2008
   1 | 29085246 | 10.1270/jsbbs.16201 | Sayama, Tanabata et. al., 2017
   1 | 28979275 | 10.3389/fpls.2017.01604 | Manan, Ahmad et al., 2017
   1 | 28338712 | 10.1093/jxb/erw394 | Cao, Takeshima, et al., 2017
   1 | 28235823 | 10.1534/g3.116.038596 | Dobbels, Michno et al., 2017
   1 | 27979775 | 10.1016/j.molp.2016.12.004 | Yue, Liu et al., 2017
   1 | 27832313 | 10.1007/s00122-016-2819-7 | Samanfar, Molnar et al., 2017
   1 | 27791139 | 10.1073/pnas.1611763113 | Ge, Yu et al., 2016
   1 | 27422993 | 10.1093/jxb/erw283 | Takeshima, Hayashi, et al., 2016
   1 | 27404272 | 10.1371/journal.pone.0159064 | Song J, Liu Z et al., 2016
   1 | 27062090 | 10.1111/tpj.13181 | Lu, Li et al., 2016
   1 | 26420429 | 10.1186/s12870-015-0602-6 | Li, Suo et al., 2015
   1 | 25663621 | 10.1105/tpc.114.135103 | Wang, Zhou et al., 2015
   1 | 25549672 | 10.1105/tpc.114.131607 | Wang, Wang et. al., 2014
   1 | 25369033 | 10.1371/journal.pone.0111959 | Zabala, Vodkin., 2014
   1 | 25369033 | 10.1371/journal.pone.0111959 | Zabala, Vodkin, 2014
   1 | 25287450 | 10.1186/s12870-014-0263-x | Hu, Jin et al., 2014
   1 | 25074550 | 10.1093/aob/mcu147 | Yao, Tian et al., 2014
   1 | 25005919 | 10.1105/tpc.114.126938 | Ping, Liu, et al., 2014
   1 | 25004933 | 10.1038/ncomms5340 | Qi, Li et al., 2014
   1 | 24893844 | 10.1186/1471-2229-14-154 | Zhou, He et al., 2014
   1 | 24886084 | 10.1186/1471-2229-14-143 | Gillman, Stacey et. al., 2014
   1 | 24846334 | 10.1371/journal.pone.0097891 | Carrero-Colon, Abshire et. al., 2014
   1 | 24846334 | 10.1371/journal.pone.0097891 | Carrero-Colon, Abshire et al., 2014
   1 | 24845624 | 10.1371/journal.pone.0097669 | Nan, Cao, et al., 2014
   1 | 24845624 | 10.1371/journal.pone.0097669 | Nan, Cao et al., 2014
   1 | 24733883 | 10.1104/pp.114.235952 | Cook, Bayless et al., 2014
   1 | 24727730 | 10.1371/journal.pone.0094150 | Langewisch, Zhang, 2014
   1 | 24707045 | 10.1073/pnas.1312801111 | Chiasson, Loughlin et al., 2014
   1 | 24586488 | 10.1371/journal.pone.0089030 | Zhai, Lu et al., 2014
   1 | 24284817 | 10.1093/aob/mct269 | Tsubokura, Watanabe et al., 2013
   1 | 24072327 | 10.1007/s11103-013-0133-1 | RojasRodas, Rodriguez et al., 2013
   1 | 23984715 | 10.1186/1471-2164-14-579 | Li, Zhao et al., 2013
   1 | 23963672 | 10.1093/jxb/ert238 | Song, Li et al., 2013
   1 | 23645501 | 10.1007/s11248-013-9713-8 | Zhang, Luo et al., 2013
   1 | 23636865 | 10.1007/s11103-013-0062-z | Zhao, Wang et al., 2013
